97652,50353
97652,51578
98177,51578
98177,52782
97848,52782
97848,54028
98180,54028
98180,55220
97818,55220
97818,56391
97377,56391
97377,57573
97103,57573
97103,58738
96759,58738
96759,59924
96540,59924
96540,61136
96426,61136
96426,62265
95966,62265
95966,63548
96058,63548
96058,64735
95776,64735
95776,65881
95363,65881
95363,67069
95062,67069
95062,68316
94887,68316
94887,69336
94154,69336
94154,70373
93489,70373
93489,71299
92620,71299
92620,72393
92107,72393
92107,73844
92218,73844
92218,74552
91010,74552
91010,75746
90632,75746
90632,76770
89971,76770
89971,77508
88904,77508
88904,78805
88625,78805
88625,79864
87996,79864
87996,80347
86660,80347
86660,81783
86473,81783
86473,82435
85370,82435
85370,83144
84354,83144
84354,84268
83764,84268
83764,84688
82487,84688
82487,86007
82050,86007
82050,86384
80770,86384
80770,87439
80068,87439
80068,88568
79399,88568
79399,89172
78320,89172
78320,89820
77280,89820
77280,90654
76363,90654
76363,91139
75221,91139
75221,91388
73952,91388
73952,91921
72863,91921
72863,92719
71913,92719
71913,93621
70997,93621
70997,93862
69761,93862
69761,93895
68452,93895
68452,94308
67319,94308
67319,94922
66259,94922
66259,95857
65296,95857
65296,95455
63892,95455
63892,96596
62960,96596
62960,96344
61633,96344
61633,97187
60582,97187
60582,97323
59360,97323
59360,97241
58106,97241
58106,97077
56855,97077
56855,97914
55741,97914
55741,97491
54474,97491
54474,98186
53310,98186
53310,98313
52091,98313
52091,97963
50859,97963
50859,97993
49644,97993
49644,98131
48423,98131
48423,97674
47227,97674
47227,97818
46001,97818
46001,97541
44809,97541
44809,97674
43568,97674
43568,97153
42418,97153
42418,97018
41212,97018
41212,96839
40011,96839
40011,96908
38747,96908
38747,96211
37669,96211
37669,95612
36582,95612
36582,95958
35205,95958
35205,95395
34106,95395
34106,94919
32984,94919
32984,94904
31675,94904
31675,93591
30909,93591
30909,93627
29561,93627
29561,93181
28420,93181
28420,92249
27530,92249
27530,91650
26476,91650
26476,91293
25278,91293
25278,90408
24395,90408
24395,89733
23389,89733
23389,89410
22133,89410
22133,88221
21495,88221
21495,88098
20055,88098
20055,86954
19408,86954
19408,86000
18627,86000
18627,85174
17744,85174
17744,84290
16917,84290
16917,83949
15543,83949
15543,82524
15272,82524
15272,82014
14033,82014
14033,81229
13071,81229
13071,80009
12633,80009
12633,79298
11563,79298
11563,77911
11393,77911
11393,77034
10537,77034
10537,76109
9737,76109
9737,75227
8849,75227
8849,74191
8199,74191
8199,72849
8104,72849
8104,71723
7650,71723
7650,70806
6775,70806
6775,69808
6032,69808
6032,68422
6177,68422
6177,67599
4974,67599
4974,66360
4800,66360
4800,65212
4392,65212
4392,63906
4498,63906
4498,62834
3855,62834
3855,61672
3502,61672
3502,60414
3559,60414
3559,59362
2664,59362
2664,58173
2368,58173
2368,56862
2875,56862
2875,55672
2668,55672
2668,54503
2191,54503
2191,53257
2581,53257
2581,52087
1778,52087
1778,50859
2032,50859
2032,50331
94803,50331
94803,48426
1962,48426
1962,47196
1792,47196
1792,46022
2423,46022
2423,44825
2604,44825
2604,43540
2118,43540
2118,42384
2636,42384
2636,41104
2401,41104
2401,39959
2912,39959
2912,38754
3117,38754
3117,37500
3158,37500
3158,36316
3485,36316
3485,35167
3921,35167
3921,34151
4732,34151
4732,33078
5330,33078
5330,32041
5990,32041
5990,30813
6188,30813
6188,29525
6294,29525
6294,28756
7492,28756
7492,27549
7785,27549
7785,26435
8276,26435
8276,25150
8492,25150
8492,24090
9110,24090
9110,23448
10355,23448
10355,22560
11193,22560
11193,21191
11371,21191
11371,20292
12203,20292
12203,19636
13320,19636
13320,18789
14184,18789
14184,17567
14633,17567
14633,16387
15159,16387
15159,15698
16203,15698
16203,15120
17332,15120
17332,14042
17994,14042
17994,13241
18913,13241
18913,12731
20068,12731
20068,12034
21059,12034
21059,10932
21755,10932
21755,10488
22931,10488
22931,9468
23716,9468
23716,9203
24989,9203
24989,8064
25730,8064
25730,8168
27185,8168
27185,7292
28092,7292
28092,6335
28981,6335
28981,5999
30176,5999
30176,5479
31284,5479
31284,5717
32690,5717
32690,5150
33766,5150
33766,4409
34793,4409
34793,4363
36052,4363
36052,3890
37175,3890
37175,3302
38277,3302
38277,2760
39406,2760
39406,3329
40768,3329
40768,2470
41844,2470
41844,2397
43068,2397
43068,1912
44237,1912
44237,2403
45515,2403
45515,1733
46683,1733
46683,2489
47943,2489
47943,2215
49143,2215
49143,1549
50359,1549
50359,2310
51562,2310
51562,2412
52767,2412
52767,1685
54039,1685
54039,1939
55247,1939
55247,2436
56416,2436
56416,2774
57593,2774
57593,2803
58820,2803
58820,3228
59973,3228
59973,3694
61107,3694
61107,3625
62374,3625
62374,3718
63614,3718
63614,4723
64574,4723
64574,5009
65751,5009
65751,5104
67006,5104
67006,5837
68021,5837
68021,5991
69272,5991
69272,6559
70350,6559
70350,7123
71427,7123
71427,7230
72746,7230
72746,7872
73792,7872
73792,8795
74668,8795
74668,9195
75855,9195
75855,9964
76812,9964
76812,10693
77792,10693
77792,11903
78411,11903
78411,12115
79776,12115
79776,13307
80374,13307
80374,13750
81588,13750
81588,14917
82171,14917
82171,15618
83170,15618
83170,16626
83871,16626
83871,16952
85285,16952
85285,17879
86086,17879
86086,19186
86436,19186
86436,20037
87307,20037
87307,21153
87842,21153
87842,22036
88678,22036
88678,23106
89256,23106
89256,23660
90616,23660
90616,25133
90560,25133
90560,26184
91150,26184
91150,26973
92220,26973
92220,27937
93010,27937
93010,29308
92984,29308
92984,30226
93888,30226
93888,31507
93990,31507
93990,32600
94512,32600
94512,33798
94761,33798
94761,34939
95152,34939
95152,35910
96099,35910
96099,37037
96604,37037
96604,38375
96308,38375
96308,39427
97144,39427
97144,40708
96973,40708
96973,41904
97176,41904
97176,43128
97185,43128
97185,44263
97870,44263
97870,45488
97885,45488
97885,46729
97606,46729
97606,47920
98042,47920
98042,49141
97867,49141
97867,50353
