152594199160345, 147562599184759, 291883234654893 @ 229, 220, -31
181402578613976, 206158696386036, 294595238970734 @ 179, 99, -32
306345582484815, 290719456201785, 306246299945991 @ -19, -64, -43
324804504191222, 288308881397108, 157061229167518 @ -61, -55, 207
205425286498054, 395557616674288, 112794059419038 @ 64, -263, 416
372255999352491, 192496548823931, 344139071323415 @ 33, -22, -35
360307098368269, 492746351958427, 277534235461500 @ -191, -440, -10
216844619122082, 122660781543037, 359880477362199 @ 152, 142, -97
176089413220846, 342046261904356, 322506281305254 @ 163, -127, -130
350096852708706, 346169716907076, 275350998461474 @ -6, -165, 22
215440993192730, 257263538643700, 396253290042862 @ 101, 31, -246
299985983558686, 109001017518436, 102420256531974 @ 11, 204, 276
138662763687895, 360460093429666, 253678835942568 @ 149, -7, -186
239261584978334, 457675442313716, 286663554941582 @ -120, -507, -105
207729384910050, 397748147029318, 306082634112084 @ 14, -284, -157
305471099417350, 176022046801316, 196532110604230 @ 37, 63, 124
224279074298386, 52691363133212, 78088496306318 @ 13, 681, 510
204158452011690, 312622336293437, 266499894374939 @ -136, 132, -87
418359651736057, 343294961988046, 255707876769600 @ -35, -167, 50
238163478911224, 349086391242094, 96634293999630 @ 37, -148, 376
343512634734597, 95747749289964, 52136278906219 @ -33, 195, 333
184506988243064, 319979732976203, 96196226089497 @ 42, 24, 677
150294357141782, 356490587522532, 248500615085018 @ 42, -13, -51
32928575559625, 152905355696161, 72810099385575 @ 365, 18, 231
387397952558396, 223340178183561, 357349454711810 @ 18, -52, -48
196022684467926, 345273127238492, 178432288280550 @ -27, -76, 344
271096256797246, 139826436684496, 363029155092494 @ 28, 202, -146
151863172680202, 235930162855846, 39569412089946 @ 230, 58, 442
284720322288394, 215166102502296, 396049868814122 @ -89, 168, -299
307433490415500, 215720840739340, 276981295308566 @ 11, 31, 12
161426577897053, 358632250473591, 242725079041599 @ -63, -52, 23
169916933778548, 390340963864469, 208144582901040 @ 110, -274, 194
223167605882521, 264980788461256, 290456927377509 @ 93, 7, -31
171035386880798, 292703502950829, 268050338237575 @ 44, 252, -99
190469843776054, 230347940993002, 375213936592833 @ 84, 245, -359
158220357987023, 360812057413265, 257296376734577 @ 21, -96, -105
501582478915186, 488334380126056, 242840719203909 @ -176, -337, 63
