Card   1: 72 28 41 15 98 13 27 99 93 38 | 62  5 80 81 53 29 23 25 59 72 90 19 54 86 68 73 55 21 56 27 32 15 12 42 44
Card   2: 37 28 78 94 73 43 57 44 75 85 |  1 70 85 94 68 39 11 16 86 77 28 25 78 43 71 26 10 97 81 83 31 88 54 60 98
Card   3: 29 62 28 53 94 87 50 67  7 24 | 62 37 95 70 38  7 28 97 24 67 78 35 94 22 21 50 10 87 33 49 92 53 29 55  2
Card   4: 82 49 64 77 88 37 48 55 74 10 | 48  2 97 27 62 42 49 63 94 32 77 40  8 82 52 87 37 76 45 44 88 41 20 74  3
Card   5:  6 67 39 18 36 95 50 74 55 98 | 50 15 18 59 45 75 67 36  4 79 13 98 47 11 97 54 23 95 99 55 37 90  6 42 74
Card   6: 23 15 17 73 24 59 22 80 46 67 | 27 59 60 32 35 14 33 12 44 45 69 73  2 46  7 24 23 92 17 67 25 94 80 22 15
Card   7: 51 76  4 56 62 55 67 16 58 64 | 67 32 82 22 62 55 64 65 24  4 58 45 68 16 61 66 72 96 31 83 21 56 76 51 54
Card   8: 44 48 45 99 54 60 78 37 65  1 | 82 66 45 54 11 94 41  1 26 12 22 43 96 60  9 92 56 46 93 81 61 49 91  3 65
Card   9: 87 25 59 21 58 27 72  9 85 52 | 53  4 20 89 93 42 56 23 17  3 57 10 21  5 26 25 79 98 87 85 27  2 74 54 49
Card  10:  9 76 20 82 41 52 87 78 37 59 | 37 29 76 44 99 56 14 70  9 45 82 93  5 89 95 41 65 20 27 87 61 71 39 51 52
Card  11: 59 22 35  8 90 28 60 97 10 13 | 46 18 54 30 47 88 74 14 21 17 50 52 26 84 39 37 36 67 94 66 59 95 28 41 86
Card  12: 11 10 77 92 45 61 50 47 23 44 | 45 49 61 10 48 39 73 44 66 97 53 90 85 24 70 47  2 74 83 93 82 79 42 33 15
Card  13: 82 25 28 20 48 29 90 22 45 96 | 81 14 28 12 97 25 60 76  5 90 11 29 85  4 89 96 38 69 57 95 24 86 22 63 98
Card  14: 48 27  4 95 22 45 78 73 70 12 | 85 23 45 51 68 73 62 18 40 31 30 55 19 27 65 74 88 24 98 72 48 63 47 26 12
Card  15: 27 87 34 36 64 85 32 74 58 20 | 22 27 26  3  6 92 42 64 36 68 58 72 32 82 59 18 74 85 78 34 17 20 79 53 54
Card  16: 63 90 45  7 41  6 27 11 43 24 |  2  9 88 24 71 52 91  3 95  7 45 50 20 28 39 49 34 63 41 21  6 11 43 13 27
Card  17: 96 57 79 27 22 14 87 99 65 28 |  1 75 98 45  5  4 95 55 93 56 44 68 16 47 62 77 17 64 71  8 10 34  6  7 52
Card  18: 56 46 12 15 66 36 30 13 54  5 | 81 39 98 37  9 74 83 13 86 56 85 77 11 57 78 75 47 95 10 84 99  1  8  3 26
Card  19: 92 11 56  8 42 86 89 40 58  2 | 31 42 33 58 98 74 29 54 10 26 25 79  3 81 59 78 95 52 39 22  8 45 72 40 15
Card  20: 96  5 95 79 86 54 14 34 68 20 | 45 86 96 35 43 56 28 12  3 33 59 41 54 65 29 21 47  5 61 95 82 83 63 16 27
Card  21: 38 79 50 63 76 64 41 20 14 85 | 37  5 27 56 14 58 13 26 71 55 60 51 21 78 94 76 15 42 53 73 20 80 24 83  3
Card  22: 81 91 75 86 56 48 69 61 41 40 | 60 23 74 75  4 22 59 19 93 94 88  2 56 87 36 73 98 41 42 97 90  8 53 24 20
Card  23: 43 81 40 66 11 53 90 48  1  4 |  7 79 33 28 89 21 26  3 55 47 83 42 88 91 32 19 69 84 96 31 82 49 77 76 81
Card  24: 34 97 36 21  9 16 33  1 61 77 | 25 19 40 47 74 64 11 50 22 17  7 83 67 26 53 93 78 56 30 68 13  8 39 54 98
Card  25: 94 85 93 45 95 64  9 49 76  3 | 32 57 82 75 90 42 89 13 71 99 39  6 70 24 81 56 51 52 21 36 53 69 91 20 48
Card  26: 74 99  5 37 76 19 68 96 49 36 | 70 79 60 21  9 78 18 96  7 25 22  6 29 74 87 45 85 30 11 89 27 94 15 77 17
Card  27: 44  7 49 67 45 53 79 77 81 33 |  6 77 53 44 45 49  8  7 27 68 79 24  2 12 75 11 35 69 51 83 40 46 61 85 88
Card  28: 62 45 65 77 83 80 81 17 74 16 |  5 17 70 78 59 52 37 84 80 45  7 93 81 25 58 10 50 75 95 57  9 43 77 12 51
Card  29: 49  1 22 80 19 12  5 63 82 91 | 35 89 38 20 77 14 33 67 52 96 60 71 37 97 30 80  8 58 28 72 41  1 68 53 64
Card  30: 81 45 73 37 48 13 16 18 58 54 | 56 48 41 32 18 13 81 16 52 45  6 27 12 73 62  5 33 36 37 70 54 64  4 58 95
Card  31: 33 21 74 11 63 14 47 22 83  8 | 79 24 22 20 60 26 21  1 31 61 11 45 72 59 91 69 63 94 14 47  8 97 49  7 34
Card  32: 48 99 47 86 67 39 50 84 60 12 | 76 77 67 47 28  4 20 71 60  8 21 84 78 91 30 79 88  2 31 16 14 39 74 26 33
Card  33:  2 74 96 24 70 73 37  3 39 64 | 13 18 89 32 39 21 71 24 51 76  5 70 38 15 17  6 43 27  8 81 91 55 25 49 52
Card  34: 51 77  1 25 79 59  6 23 98 88 | 62 24 58 67 43 64 54 85 28 76 44 15 81 48 98 80 73 40 53 84  8 42 86 87 16
Card  35: 60 72 53 73 10 17 88  6 91  8 |  6 25 31 93 97 22 76 43 84 63 78 23 86 12 40 77 21 20 73 13 38 46 47 56 57
Card  36:  5 87 56 90 74 94  6 57 41 73 | 88 98 35 31 59 53 56 30 85 66 40 16 95 14 21 11 73 64 86 10  3 26 55 90 87
Card  37: 89 92 85 40 67 50 26 37 49 68 |  3 23 69 53 19 31 95 14 58 79 82 22 62 65 52 68 33 57  4 99 92 89 67 21 54
Card  38:  9 97 60  3 13 82 54 42 83 40 | 42 98 10 97 92 84 68 46 75  1 13 62 53 36 24 72 95 45 14 37  6 78 38 23 19
Card  39: 46 60 95 83 18 38 29 47 74 86 | 34 78 77 99 83 52 23 96 46 97 14 20 88 62 36 98 37 64 82 59 86 49 93 40 65
Card  40: 14 25 41 36 91 58 31 20 57  3 | 71 46 86 22 30 63 96 42 43 66 18 35  2 67 54 59  7 16 97 69  5 50 89  4 53
Card  41: 78 93 75 66 13 81 26 20 49 27 | 21 63 33 79 14 89 32 15 18  2 59 47 80 69 74 95 40 34 50 12 94 65 62 17 68
Card  42: 43 46 47 80 38 45 34  7 53 98 | 77 36 19 14  2 48 69 62 56 16 70 58 97 87 63 76 31 29 59 94 26 15 72 57  5
Card  43: 16 93 58 31  6 57 68 91 35 72 | 55 23 47 10 51 38 99 41 27 46 42 30  9  4 54 73  3 89 12 95 50 40 11 98 53
