44273,63506,23652
90292,4098,91237
10556,93137,79412
48488,2622,48711
76101,12623,20454
92902,86024,96503
9110,58459,9760
3209,90208,19265
70978,14925,64767
67434,54787,44982
98069,67016,15586
62045,68732,56028
26579,23371,90785
37070,38164,93985
63589,92888,88928
46286,83483,37637
66823,22254,72332
7407,52783,42057
70922,58616,31082
78627,84273,73370
14298,9935,96288
23835,82926,57554
33174,69402,65350
21910,9321,11038
643,7918,41828
6150,10137,77835
46844,17904,12017
75811,3924,87578
12611,97173,85686
43853,97453,57870
36196,4357,81227
90177,50449,52077
98096,10736,61733
40950,69868,88902
6769,73928,59217
76419,78740,14896
36763,34153,34479
18722,84927,25563
28170,56659,56864
8371,54445,55992
66724,91065,98297
81537,27367,76359
77916,44382,75394
63033,94699,1266
40920,45927,57818
91573,73498,42691
60008,72317,26567
88677,47747,43093
13959,7682,49417
80291,74579,67577
16265,14273,39189
24074,55127,15395
68063,2375,21653
99330,84762,51451
25729,2673,41591
66548,25400,14243
21788,26607,45007
12500,75120,50198
11485,55996,42968
78650,18698,91743
10035,42108,82906
89778,8734,23749
67475,24117,43408
81234,26935,7832
21905,11268,39744
49400,16454,2903
76180,38902,91997
44709,38791,45544
63606,58292,43892
25649,83609,80663
5417,5096,29784
17073,78743,28833
17224,16889,9396
17971,95137,72573
66910,61766,5339
16642,80920,6278
68946,56428,7388
6240,62001,80599
56658,43704,27309
35406,254,12041
19617,69933,24128
31946,72891,6927
16989,36155,23342
4563,22813,99700
89229,31796,66976
34897,50417,9102
750,35943,46960
42740,34957,82454
19456,55718,31300
68533,94815,45571
40476,52722,13043
57874,66389,51626
34366,86164,62263
67781,35880,1843
39705,30934,34204
90871,77989,86045
70289,63935,36177
14572,86631,639
93011,75812,71066
50514,12515,89057
47922,9768,70468
95865,62460,15183
87683,84934,31811
89149,29489,83755
61482,52914,21866
14606,45126,20757
48302,34537,53826
44463,67822,76116
64330,95264,94668
37968,91312,26006
9518,40953,52237
27917,7335,30593
63100,88811,99435
21384,5261,29090
69104,10585,16846
71584,68241,43404
3318,25471,44626
57905,70493,94203
8277,35063,6861
65389,4173,53
60614,95731,25813
76748,8491,57532
18413,64564,18960
81831,16088,49970
229,86148,88618
63454,55369,57176
39850,64221,61764
17805,71727,61870
52175,16933,70473
37705,9857,64849
70358,93523,42968
98090,36652,57037
74547,98989,84121
98834,56851,46178
7274,43451,83962
14701,60485,78219
58258,35820,52280
8626,46231,26674
40947,72572,1956
94629,66146,91930
14385,48123,71442
5787,53023,19080
59068,32707,8121
37460,34653,49979
92408,38299,5052
46140,44896,19724
66306,3151,40082
77125,85759,39354
2081,86109,37548
1084,79852,93311
84354,25527,91751
50043,21140,20577
62614,15412,64491
68183,80194,91462
10482,69474,98049
87687,16230,15222
25303,52337,27367
454,18785,36257
62810,62808,36790
55894,36897,30172
15506,6770,97
22998,86508,9654
86115,93111,96753
88032,83936,55696
9141,18078,96709
10359,22887,28303
89761,65574,37161
74477,71496,7553
148,71386,43476
57580,8179,23829
19466,73342,97810
88182,62995,90904
67667,88204,64753
10000,69066,56023
55775,70549,65547
24780,81231,91148
14592,42890,89224
68116,11212,42712
86254,8134,26706
86546,88135,68979
8328,39657,34666
56137,91515,19628
16064,1709,38113
31290,77262,83929
6684,80896,66080
17418,97745,37932
86734,7022,93218
70177,20371,51667
29229,61200,8452
62964,41120,49871
37883,19590,93217
30609,63512,69700
30764,69482,94546
66142,52219,25126
17110,33109,14593
91281,31554,17651
28040,77904,26528
38269,26971,24982
63763,58313,89489
53786,99992,50468
13997,37223,62497
85829,8057,48605
30111,46618,39596
87713,54845,84091
91672,96965,13776
95482,29433,58002
75030,87601,69642
90844,34189,6011
59931,81187,62484
2306,55440,5243
60052,67071,86165
51221,25981,90536
58314,99087,11979
9011,29400,89061
83513,23993,49497
9663,56845,27706
12751,69542,43555
57960,14312,87077
17051,25177,41736
67626,14924,82461
37579,21647,23573
37313,75407,65646
19683,61562,76466
1502,99187,38898
23313,74113,36338
80743,72278,368
31422,38889,33703
57901,19048,84109
40692,36162,83513
4758,9210,26848
22647,98087,58531
59899,96097,83722
97640,45250,12998
6385,34430,31404
52339,20834,57586
38260,57495,62135
10595,13367,14873
9109,91218,24846
71541,97500,93357
68568,94176,45310
69948,86770,43342
18414,51333,76389
74927,6459,52549
90942,71640,52737
51716,94232,9370
6797,9888,18557
28781,53793,27653
77066,84896,42678
25605,18550,4992
48030,82558,34015
86810,83743,37856
95237,98836,55546
40912,44787,6606
22719,23678,60382
93503,5254,49270
80695,91175,53352
4575,28464,98925
12644,16122,75110
88929,6191,69621
10616,45679,87449
54670,66430,25149
35357,70639,67455
88204,90939,58782
92994,30736,15913
42970,13947,12092
68124,99030,53815
56078,81081,44906
30482,42986,38880
73173,61643,24870
1323,88991,23505
23176,43776,83347
5569,21515,83154
59245,96318,55945
5373,40929,9221
60119,44598,69766
36099,17527,83772
19178,17606,53105
6274,22215,96677
1810,76462,83725
70714,83132,22410
62373,58341,93900
36732,31382,25255
83264,64418,19265
75639,65236,62454
58908,67208,47225
61187,34246,82143
45145,37546,65095
17396,24108,94882
52028,7101,51583
92120,61888,69820
39,48779,50789
73115,57239,84184
33257,18278,33074
4548,34280,86250
26273,95635,34139
20595,86996,90416
95333,373,81659
78421,66027,21788
4706,88750,87151
36089,53458,82878
612,7585,72523
21853,6499,61275
14264,49619,48414
87923,53039,48170
1168,95011,29683
48740,85410,16418
5967,17582,63052
79606,38909,5727
57446,36259,74052
54099,57691,76467
33254,62088,79540
5589,84180,57019
71332,80711,19004
80611,35216,96141
2619,37508,27354
16705,35015,20010
59578,77761,87722
36539,35328,72116
45180,71880,59117
98406,3441,2281
88041,51635,41235
73992,81064,44332
92625,40261,14474
83126,72319,88326
95616,18364,60390
88020,30028,88809
64308,59668,95476
5536,84680,7471
99254,41945,4108
51141,48870,4829
53727,32807,40820
65544,41973,86781
64583,93339,28199
59564,59694,93799
8339,18030,40533
54954,39645,11307
87301,9187,50746
